Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Opposition,1,1,705,4,1,1,7,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,0,120,0,0,0,3,750,,,,,,,,,,,,,,,,,,,,,,
Dur,1,0,135,0,0,0,0,750,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,750,4,3,2,6,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
SithDroid,5,2,1040,5,1,6,12,2985,,,,,,,,,,,,,,,,,,,,,,
Dur,5,2,1200,4,2,4,10,2985,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,3,2985,14,7,11,33,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,1,360,3,0,0,6,575,,,,,,,,,,,,,,,,,,,,,,
SithDroid,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Dur,1,1,540,3,2,1,8,575,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,575,2,2,5,3,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,1,425,2,1,1,5,470,,,,,,,,,,,,,,,,,,,,,,
SithDroid,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Dur,1,1,185,1,0,1,3,470,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,470,1,0,4,4,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,1,415,3,0,0,6,450,,,,,,,,,,,,,,,,,,,,,,
SithDroid,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Dur,1,1,170,0,0,2,4,450,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,450,2,1,4,3,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,1,405,2,2,2,3,515,,,,,,,,,,,,,,,,,,,,,,
SithDroid,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Dur,1,1,345,3,0,0,6,515,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,515,2,0,4,6,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,1,685,5,2,2,9,610,,,,,,,,,,,,,,,,,,,,,,
SithDroid,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Dur,1,1,530,3,4,1,7,610,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,610,1,0,8,7,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,5,5,2290,15,5,5,29,2620,,,,,,,,,,,,,,,,,,,,,,
SithDroid,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Dur,5,5,1770,10,6,5,28,2620,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,0,2620,8,3,25,23,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,1,255,0,2,1,4,455,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,1,415,3,0,2,3,455,,,,,,,,,,,,,,,,,,,,,,
Dur,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,455,2,1,3,5,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,1,355,2,2,1,3,600,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,1,465,3,1,0,7,600,,,,,,,,,,,,,,,,,,,,,,
Dur,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,600,4,2,3,5,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,0,200,0,1,1,1,750,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,0,275,1,0,1,6,750,,,,,,,,,,,,,,,,,,,,,,
Dur,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,750,4,1,4,11,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,1,480,3,1,2,3,540,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,1,385,2,2,2,4,540,,,,,,,,,,,,,,,,,,,,,,
Dur,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,540,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,1,425,3,1,1,6,695,,,,,,,,,,,,,,,,,,,,,,
