Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Opposition,1,1,645,2,1,4,7,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,5,0,1105,4,2,5,13,3500,,,,,,,,,,,,,,,,,,,,,,
Fry,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Azorh,5,0,1070,5,2,5,10,3500,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,5,3500,20,8,13,38,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,0,130,0,0,2,1,380,,,,,,,,,,,,,,,,,,,,,,
Fry,1,0,145,0,0,0,3,380,,,,,,,,,,,,,,,,,,,,,,
Azorh,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,380,1,0,3,4,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,1,255,2,0,1,2,370,,,,,,,,,,,,,,,,,,,,,,
Fry,1,1,305,2,1,1,2,370,,,,,,,,,,,,,,,,,,,,,,
Azorh,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,370,2,0,0,5,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,1,240,1,1,1,3,410,,,,,,,,,,,,,,,,,,,,,,
Fry,1,1,315,1,0,1,6,410,,,,,,,,,,,,,,,,,,,,,,
Azorh,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,410,1,0,4,3,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,1,405,3,1,3,5,280,,,,,,,,,,,,,,,,,,,,,,
Fry,1,1,345,2,2,0,4,280,,,,,,,,,,,,,,,,,,,,,,
Azorh,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,280,1,0,3,5,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,1,315,2,0,1,2,495,,,,,,,,,,,,,,,,,,,,,,
Fry,1,1,340,2,1,0,4,495,,,,,,,,,,,,,,,,,,,,,,
Azorh,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,495,3,1,2,5,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,5,4,1345,8,2,8,13,1935,,,,,,,,,,,,,,,,,,,,,,
Fry,5,4,1450,7,4,2,19,1935,,,,,,,,,,,,,,,,,,,,,,
Azorh,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,1,1935,8,1,12,22,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,0,290,2,0,1,5,715,,,,,,,,,,,,,,,,,,,,,,
Fry,1,0,275,1,0,1,5,715,,,,,,,,,,,,,,,,,,,,,,
Azorh,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,715,4,1,2,9,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,0,220,2,0,2,2,690,,,,,,,,,,,,,,,,,,,,,,
Fry,1,0,290,1,0,2,4,690,,,,,,,,,,,,,,,,,,,,,,
Azorh,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,690,4,2,2,8,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,0,40,0,0,0,0,405,,,,,,,,,,,,,,,,,,,,,,
Fry,1,0,240,0,0,3,1,405,,,,,,,,,,,,,,,,,,,,,,
Azorh,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,405,2,0,1,6,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,0,150,1,0,0,1,680,,,,,,,,,,,,,,,,,,,,,,
Fry,1,0,280,0,1,2,5,680,,,,,,,,,,,,,,,,,,,,,,
Azorh,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,680,3,0,5,6,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,1,250,1,2,2,4,425,,,,,,,,,,,,,,,,,,,,,,
Fry,1,1,615,4,1,0,8,425,,,,,,,,,,,,,,,,,,,,,,
Azorh,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,425,2,0,4,5,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,5,1,950,6,2,5,12,2915,,,,,,,,,,,,,,,,,,,,,,
Fry,5,1,1700,6,2,8,23,2915,,,,,,,,,,,,,,,,,,,,,,
Azorh,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,4,2915,15,3,14,34,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Fry,1,0,185,0,0,1,2,465,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,0,150,0,0,2,2,465,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,465,2,0,3,4,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Fry,1,0,215,1,0,1,2,590,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,0,225,0,1,1,4,590,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,590,2,1,5,6,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Fry,1,0,385,2,1,2,6,835,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,0,215,1,0,3,1,835,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,835,5,2,4,12,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Fry,1,0,330,1,0,4,3,760,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,0,200,0,1,2,0,760,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,760,5,0,1,10,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Fry,1,0,200,1,0,1,2,810,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,0,180,0,0,3,0,810,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,810,4,3,1,9,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Fry,5,0,1315,5,1,9,15,3460,,,,,,,,,,,,,,,,,,,,,,
Azorh,5,0,970,1,2,11,7,3460,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,5,3460,18,6,14,41,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Fry,1,0,225,1,0,0,3,675,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,0,280,1,0,1,5,675,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,675,3,2,6,3,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Fry,1,1,515,3,0,1,5,415,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,1,140,0,0,0,1,415,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,415,2,0,1,5,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Fry,1,1,455,3,0,0,6,450,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,1,115,0,1,0,1,450,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,450,2,1,3,4,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Fry,1,1,695,6,0,0,9,425,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,1,280,0,3,2,0,425,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,425,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Fry,1,1,410,3,0,1,3,455,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,1,320,1,2,2,3,455,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,455,2,1,2,7,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Fry,5,4,2300,16,0,2,26,2420,,,,,,,,,,,,,,,,,,,,,,
