,,,,,,Player Statlines,,,,,
Week,Game,Match ID,Team,Opponent,Player,Sc,G,A,Sv,Sh,NCP
2,4,9,Tyrants,Bulls,JRyck,550,1,1,2,2,
2,5,9,Bulls,Tyrants,Tagmata,777,2,2,3,6,
2,5,9,Bulls,Tyrants,Floms,801,3,0,3,6,
2,5,9,Tyrants,Bulls,Fuzh,656,1,2,3,5,
2,5,9,Tyrants,Bulls,JRyck,513,2,0,2,5,
2,1,10,Elite,Pandas,Cearu,571,2,0,2,5,
2,1,10,Elite,Pandas,El Diablo Rojo,483,1,2,1,2,
2,1,10,Pandas,Elite,JustTuck,817,4,0,2,6,
2,1,10,Pandas,Elite,Riz,368,0,2,1,2,
2,2,10,Elite,Pandas,Cearu,492,2,1,1,4,
2,2,10,Elite,Pandas,El Diablo Rojo,630,2,2,2,4,
2,2,10,Pandas,Elite,JustTuck,665,2,1,3,3,
2,2,10,Pandas,Elite,Riz,386,1,1,2,3,
2,3,10,Elite,Pandas,Cearu,321,0,1,1,1,
2,3,10,Elite,Pandas,El Diablo Rojo,649,3,0,2,7,
2,3,10,Pandas,Elite,JustTuck,354,1,0,1,4,
2,3,10,Pandas,Elite,Riz,140,0,0,0,2,
2,4,10,Elite,Pandas,Cearu,509,1,3,0,3,
2,4,10,Elite,Pandas,El Diablo Rojo,743,4,0,2,6,
2,4,10,Pandas,Elite,JustTuck,384,0,0,2,2,
2,4,10,Pandas,Elite,Riz,222,0,0,2,1,
2,5,10,Elite,Pandas,Cearu,462,1,2,1,5,
2,5,10,Elite,Pandas,El Diablo Rojo,693,3,1,2,5,
2,5,10,Pandas,Elite,JustTuck,296,1,0,1,3,
2,5,10,Pandas,Elite,Riz,372,0,0,3,1,
2,1,11,Hurricanes,Flames,Iguane Fabuleux,620,1,3,1,2,
2,1,11,Hurricanes,Flames,Peabs,899,5,1,1,7,
2,1,11,Flames,Hurricanes,Reverse Fridge,126,0,0,0,1,
2,1,11,Flames,Hurricanes,whale,469,1,0,2,3,
2,2,11,Hurricanes,Flames,Iguane Fabuleux,635,2,1,1,7,
2,2,11,Hurricanes,Flames,Peabs,531,2,1,2,3,
2,2,11,Flames,Hurricanes,Reverse Fridge,612,2,1,1,5,
2,2,11,Flames,Hurricanes,whale,629,2,1,1,5,
2,3,11,Hurricanes,Flames,Iguane Fabuleux,392,1,0,1,3,
2,3,11,Hurricanes,Flames,Peabs,835,4,0,2,8,
2,3,11,Flames,Hurricanes,Reverse Fridge,340,0,0,2,3,
2,3,11,Flames,Hurricanes,whale,456,1,0,2,3,
2,4,11,Hurricanes,Flames,Iguane Fabuleux,240,0,0,0,6,
2,4,11,Hurricanes,Flames,Peabs,826,4,0,2,8,
2,4,11,Flames,Hurricanes,Reverse Fridge,178,0,1,0,2,
2,4,11,Flames,Hurricanes,whale,564,1,0,4,2,
2,5,11,Hurricanes,Flames,Iguane Fabuleux,488,2,1,1,4,
2,5,11,Hurricanes,Flames,Peabs,561,2,1,2,4,
2,5,11,Flames,Hurricanes,Reverse Fridge,574,2,1,3,3,
2,5,11,Flames,Hurricanes,whale,448,1,2,0,4,
2,1,12,Spectre,Dodgers,Vitali,757,3,2,1,9,
2,1,12,Spectre,Dodgers,Plum,737,2,3,2,6,
2,1,12,Dodgers,Spectre,Bolio,888,1,1,8,4,
2,1,12,Dodgers,Spectre,Whiffles,354,1,1,0,2,
2,2,12,Spectre,Dodgers,Vitali,398,1,1,2,2,
2,2,12,Spectre,Dodgers,Plum,423,1,1,1,1,
2,2,12,Dodgers,Spectre,Bolio,663,3,2,0,6,
2,2,12,Dodgers,Spectre,Whiffles,587,2,3,1,4,
2,3,12,Spectre,Dodgers,Vitali,457,0,1,3,1,
2,3,12,Spectre,Dodgers,Plum,417,2,0,0,4,
2,3,12,Dodgers,Spectre,Bolio,277,0,0,1,3,
2,3,12,Dodgers,Spectre,Whiffles,248,1,0,0,4,
2,4,12,Spectre,Dodgers,Vitali,951,5,1,1,5,
2,4,12,Spectre,Dodgers,Plum,629,1,3,3,3,
2,4,12,Dodgers,Spectre,Bolio,399,1,1,1,2,
2,4,12,Dodgers,Spectre,Whiffles,382,1,1,1,6,
2,5,12,Spectre,Dodgers,Vitali,643,2,0,2,9,
2,5,12,Spectre,Dodgers,Plum,509,0,1,5,2,
2,5,12,Dodgers,Spectre,Bolio,634,2,0,2,9,
2,5,12,Dodgers,Spectre,Whiffles,374,1,1,1,4,
2,1,13,Comets,Foxes,magipod,218,0,0,2,0,
2,1,13,Comets,Foxes,Tunloink,449,0,0,3,5,
2,1,13,Foxes,Comets,Atokad,834,4,1,1,9,
2,1,13,Foxes,Comets,henrY,738,3,1,3,3,
2,2,13,Comets,Foxes,magipod,674,0,1,5,2,
2,2,13,Comets,Foxes,Tunloink,416,2,0,0,4,
2,2,13,Foxes,Comets,Atokad,953,5,2,1,8,
2,2,13,Foxes,Comets,henrY,958,4,2,2,8,
2,3,13,Comets,Foxes,magipod,612,2,0,4,4,
2,3,13,Comets,Foxes,Tunloink,396,0,2,1,3,
2,3,13,Foxes,Comets,Atokad,856,4,1,1,8,
2,3,13,Foxes,Comets,henrY,692,2,2,3,4,
2,4,13,Comets,Foxes,magipod,332,0,1,1,5,
2,4,13,Comets,Foxes,Tunloink,556,2,0,2,5,
2,4,13,Foxes,Comets,Atokad,789,3,1,3,5,
2,4,13,Foxes,Comets,henrY,727,2,0,4,5,
2,5,13,Comets,Foxes,magipod,584,0,3,3,2,
2,5,13,Comets,Foxes,Tunloink,927,5,0,2,8,
2,5,13,Foxes,Comets,Atokad,784,4,1,1,6,
2,5,13,Foxes,Comets,henrY,959,2,4,4,7,
2,1,14,Jets,Hive,Kunics,456,1,0,3,3,
2,1,14,Jets,Hive,BScottyJ,210,0,0,2,0,
2,1,14,Hive,Jets,oogga,1130,5,4,1,7,
2,1,14,Hive,Jets,Malamente,731,4,2,0,8,
2,2,14,Jets,Hive,Kunics,436,1,0,2,4,
2,2,14,Jets,Hive,BScottyJ,603,2,1,1,2,
2,2,14,Hive,Jets,oogga,685,2,3,0,6,
2,2,14,Hive,Jets,Malamente,965,4,2,2,5,
2,3,14,Jets,Hive,Kunics,380,0,1,2,5,
2,3,14,Jets,Hive,BScottyJ,440,2,0,0,3,
2,3,14,Hive,Jets,oogga,525,2,0,3,2,
2,3,14,Hive,Jets,Malamente,558,1,1,3,3,
2,4,14,Jets,Hive,Kunics,228,0,0,1,3,
2,4,14,Jets,Hive,BScottyJ,310,0,0,1,1,
2,4,14,Hive,Jets,oogga,800,3,1,1,6,
2,4,14,Hive,Jets,Malamente,783,3,3,1,4,
2,5,14,Jets,Hive,Kunics,574,1,0,3,1,
2,5,14,Jets,Hive,BScottyJ,375,0,0,3,0,
2,5,14,Hive,Jets,oogga,779,4,1,0,8,
2,5,14,Hive,Jets,Malamente,312,1,1,0,4,
2,1,15,Wolves,Spartans,Corelli,990,5,4,0,8,
2,1,15,Wolves,Spartans,Sean,811,4,2,1,4,
2,1,15,Spartans,Wolves,kccolts81,394,1,0,2,2,
2,1,15,Spartans,Wolves,Sinnicole,256,0,1,0,0,
2,2,15,Wolves,Spartans,Corelli,526,2,0,2,3,
2,2,15,Wolves,Spartans,Sean,553,0,2,3,0,
2,2,15,Spartans,Wolves,kccolts81,569,3,0,1,6,
2,2,15,Spartans,Wolves,Sinnicole,464,1,2,0,6,
2,3,15,Wolves,Spartans,Corelli,416,2,1,0,5,
2,3,15,Wolves,Spartans,Sean,482,1,1,1,3,
2,3,15,Spartans,Wolves,kccolts81,418,2,0,1,2,
2,3,15,Spartans,Wolves,Sinnicole,322,0,1,1,4,
2,4,15,Wolves,Spartans,Corelli,450,2,1,0,3,
2,4,15,Wolves,Spartans,Sean,468,1,0,2,4,
2,4,15,Spartans,Wolves,kccolts81,658,1,2,3,2,
2,4,15,Spartans,Wolves,Sinnicole,793,4,1,1,6,
2,5,15,Wolves,Spartans,Corelli,446,1,2,2,3,
2,5,15,Wolves,Spartans,Sean,661,2,0,4,3,
2,5,15,Spartans,Wolves,kccolts81,641,2,3,1,4,
2,5,15,Spartans,Wolves,Sinnicole,984,5,1,2,8,
2,1,16,Ducks,Sharks,Mateo,656,2,2,3,5,
2,1,16,Ducks,Sharks,Kadu,512,2,1,0,8,
2,1,16,Sharks,Ducks,JangosGotAMango,250,1,0,0,3,
2,1,16,Sharks,Ducks,Mish,1173,4,1,7,7,
2,2,16,Ducks,Sharks,Mateo,602,1,1,4,3,
2,2,16,Ducks,Sharks,Kadu,514,2,1,0,7,
2,2,16,Sharks,Ducks,JangosGotAMango,587,1,3,1,5,
2,2,16,Sharks,Ducks,Mish,735,3,0,4,3,
2,3,16,Ducks,Sharks,Mateo,307,0,0,2,4,
2,3,16,Ducks,Sharks,Kadu,412,2,0,1,5,
2,3,16,Sharks,Ducks,JangosGotAMango,902,4,1,3,6,
2,3,16,Sharks,Ducks,Mish,663,2,2,2,4,
2,4,16,Ducks,Sharks,Mateo,425,0,0,3,3,
2,4,16,Ducks,Sharks,Kadu,290,0,0,1,2,
2,4,16,Sharks,Ducks,JangosGotAMango,426,1,1,2,2,
2,4,16,Sharks,Ducks,Mish,587,2,0,1,6,
2,5,16,Ducks,Sharks,Mateo,282,0,1,2,1,
2,5,16,Ducks,Sharks,Kadu,373,1,0,2,3,
2,5,16,Sharks,Ducks,JangosGotAMango,659,3,2,0,5,
2,5,16,Sharks,Ducks,Mish,599,2,2,2,4,
3,1,17,Bulls,Pandas,RainbowNoms,596,1,3,2,2,
3,1,17,Bulls,Pandas,Floms,995,5,0,1,10,
3,1,17,Pandas,Bulls,JustTuck,543,1,0,5,2,
3,1,17,Pandas,Bulls,Riz,357,0,1,1,2,
3,2,17,Bulls,Pandas,RainbowNoms,412,0,2,1,3,
3,2,17,Bulls,Pandas,Floms,928,3,0,3,4,
3,2,17,Pandas,Bulls,JustTuck,407,0,0,2,2,
3,2,17,Pandas,Bulls,Riz,809,2,0,4,3,
3,3,17,Bulls,Pandas,RainbowNoms,530,1,2,0,7,
3,3,17,Bulls,Pandas,Floms,506,1,2,0,5,
3,3,17,Pandas,Bulls,JustTuck,726,1,0,6,1,
3,3,17,Pandas,Bulls,Riz,297,0,0,1,1,
3,4,17,Bulls,Pandas,RainbowNoms,472,1,2,0,2,
3,4,17,Bulls,Pandas,Floms,872,4,1,1,10,
3,4,17,Pandas,Bulls,JustTuck,172,0,0,1,0,
3,4,17,Pandas,Bulls,Riz,413,0,0,3,4,
3,5,17,Bulls,Pandas,RainbowNoms,620,1,3,1,7,
3,5,17,Bulls,Pandas,Floms,960,5,1,1,7,
3,5,17,Pandas,Bulls,JustTuck,846,4,0,2,5,
3,5,17,Pandas,Bulls,Riz,718,1,3,3,4,
3,1,18,Elite,Tyrants,Cearu,763,2,1,5,5,
3,1,18,Elite,Tyrants,Codex,396,2,1,0,4,
3,1,18,Tyrants,Elite,Fuzh,673,3,1,1,4,
3,1,18,Tyrants,Elite,JRyck,600,2,1,1,8,
3,2,18,Elite,Tyrants,Cearu,653,1,0,5,4,
3,2,18,Elite,Tyrants,Codex,516,1,1,4,3,
3,2,18,Tyrants,Elite,Fuzh,728,2,0,4,8,
3,2,18,Tyrants,Elite,JRyck,699,2,1,1,7,
3,3,18,Elite,Tyrants,Cearu,516,1,2,0,6,
3,3,18,Elite,Tyrants,Codex,683,2,1,1,9,
3,3,18,Tyrants,Elite,Fuzh,743,2,0,4,3,
3,3,18,Tyrants,Elite,JRyck,706,0,2,5,3,
3,4,18,Elite,Tyrants,Cearu,398,1,1,0,4,
3,4,18,Elite,Tyrants,Codex,396,1,1,0,5,
3,4,18,Tyrants,Elite,Fuzh,262,0,0,2,1,
3,4,18,Tyrants,Elite,JRyck,399,0,0,3,2,
3,5,18,Elite,Tyrants,Cearu,262,0,0,2,4,
3,5,18,Elite,Tyrants,Codex,376,0,0,2,7,
3,5,18,Tyrants,Elite,Fuzh,997,3,0,6,4,
3,5,18,Tyrants,Elite,JRyck,370,0,0,4,1,
3,1,19,Hurricanes,Dodgers,Iguane Fabuleux,750,1,1,6,4,
3,1,19,Hurricanes,Dodgers,Peabs,665,1,0,5,3,
3,1,19,Dodgers,Hurricanes,Bolio,625,1,0,3,5,
3,1,19,Dodgers,Hurricanes,Red Line,342,0,1,1,6,
3,2,19,Hurricanes,Dodgers,Iguane Fabuleux,558,2,0,2,2,
3,2,19,Hurricanes,Dodgers,Peabs,313,0,0,3,2,
3,2,19,Dodgers,Hurricanes,Bolio,454,1,0,1,4,
3,2,19,Dodgers,Hurricanes,Red Line,328,0,1,1,1,
