Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Wavy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,195,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,5,5,1610,10,5,1,26,2335,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,5,5,2730,17,8,4,29,2335,,,,,,,,,,,,,,,,,,,,,,
Wavy,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,0,2335,11,2,18,22,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,1,1,325,2,0,1,3,335,,,,,,,,,,,,,,,,,,,,,,
Wavy,1,1,140,0,0,2,1,335,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,335,0,0,3,4,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,1,1,355,0,1,4,3,440,,,,,,,,,,,,,,,,,,,,,,
Wavy,1,1,235,2,0,1,3,440,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,440,1,1,2,6,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,1,1,365,2,2,2,6,600,,,,,,,,,,,,,,,,,,,,,,
Wavy,1,1,470,3,0,2,6,600,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,600,3,1,5,7,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,1,1,555,3,0,1,8,530,,,,,,,,,,,,,,,,,,,,,,
Wavy,1,1,205,2,0,0,2,530,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,530,1,1,6,3,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,1,1,365,1,3,0,4,380,,,,,,,,,,,,,,,,,,,,,,
Wavy,1,1,445,3,0,1,5,380,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,380,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,5,5,1965,8,6,8,24,2285,,,,,,,,,,,,,,,,,,,,,,
Wavy,5,5,1495,10,0,6,17,2285,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,0,2285,6,3,20,22,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,1,1,115,1,1,1,1,30,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,1,1,115,1,1,1,1,30,,,,,,,,,,,,,,,,,,,,,,
Wavy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,30,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,1,1,115,1,1,1,1,30,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,1,1,115,1,1,1,1,30,,,,,,,,,,,,,,,,,,,,,,
Wavy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,30,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,1,1,115,1,1,1,1,30,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,1,1,115,1,1,1,1,30,,,,,,,,,,,,,,,,,,,,,,
Wavy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,30,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,1,1,115,1,1,1,1,30,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,1,1,115,1,1,1,1,30,,,,,,,,,,,,,,,,,,,,,,
Wavy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,30,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,
