Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Week 5 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,1,1,550,4,0,2,5,235,,,,,,,,,,,,,,,,,,,,,,
AcePocket,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,1,1,150,0,2,0,2,235,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,235,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,1,1,355,1,0,3,5,485,,,,,,,,,,,,,,,,,,,,,,
AcePocket,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,1,1,175,1,0,0,2,485,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,485,1,1,4,5,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,1,0,230,0,0,2,2,485,,,,,,,,,,,,,,,,,,,,,,
AcePocket,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,1,0,130,0,0,0,3,485,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,485,1,0,4,4,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,1,1,525,4,0,1,5,395,,,,,,,,,,,,,,,,,,,,,,
AcePocket,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,1,1,195,0,2,0,2,395,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,395,1,0,1,4,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,1,1,320,1,2,0,5,225,,,,,,,,,,,,,,,,,,,,,,
AcePocket,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,1,1,425,4,0,0,3,225,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,225,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,5,4,1980,10,2,8,22,1825,,,,,,,,,,,,,,,,,,,,,,
AcePocket,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,5,4,1075,5,4,0,12,1825,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,1,1825,3,1,13,16,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
AcePocket,1,1,415,2,1,1,7,335,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,1,1,315,1,2,1,2,335,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,335,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
AcePocket,1,1,515,3,0,1,5,400,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,1,1,120,0,0,0,3,400,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,400,1,0,4,4,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
AcePocket,1,1,185,1,0,1,2,415,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,1,1,320,2,0,2,2,415,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,415,2,0,1,7,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
AcePocket,1,1,540,5,0,1,8,435,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,1,1,300,1,2,2,5,435,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,435,2,0,4,6,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
AcePocket,1,0,245,1,0,0,5,610,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,1,0,85,0,0,1,1,610,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,610,3,1,5,5,,,,,,,,,,,,,,,,,,,,,,,
