Game Information,,,,,,Player Statlines,,,,
Week,Game,Match ID,Team,Opponent,Player,Sc,G,A,Sv,Sh
1,3,14,Tyrants,Elite,Saucy.,581,2,1,2,2
1,4,14,Elite,Tyrants,Cearu,768,3,1,3,3
1,4,14,Elite,Tyrants,veets,767,4,2,1,5
1,4,14,Tyrants,Elite,Jakester,440,1,1,1,5
1,4,14,Tyrants,Elite,Saucy.,320,1,1,0,4
1,5,14,Elite,Tyrants,Cearu,462,2,0,2,4
1,5,14,Elite,Tyrants,veets,516,1,2,1,5
1,5,14,Tyrants,Elite,Jakester,427,1,0,2,1
1,5,14,Tyrants,Elite,Saucy.,50,0,0,0,1
1,1,15,Flames,Pandas,crossfire8255,734,1,1,6,3
1,1,15,Flames,Pandas,Reverse Fridge,571,1,0,5,2
1,1,15,Pandas,Flames,Wyyzard,721,4,0,1,11
1,1,15,Pandas,Flames,dan720,604,1,3,1,5
1,2,15,Flames,Pandas,crossfire8255,452,2,0,2,4
1,2,15,Flames,Pandas,Reverse Fridge,334,0,1,2,3
1,2,15,Pandas,Flames,Wyyzard,495,1,1,3,3
1,2,15,Pandas,Flames,dan720,426,2,0,1,3
1,3,15,Flames,Pandas,crossfire8255,708,1,1,5,3
1,3,15,Flames,Pandas,Reverse Fridge,422,2,0,0,5
1,3,15,Pandas,Flames,Wyyzard,381,0,1,2,4
1,3,15,Pandas,Flames,dan720,356,1,0,2,2
1,4,15,Flames,Pandas,crossfire8255,280,0,0,0,4
1,4,15,Flames,Pandas,Reverse Fridge,302,0,0,0,4
1,4,15,Pandas,Flames,Wyyzard,550,0,1,3,4
1,4,15,Pandas,Flames,dan720,330,1,0,2,3
1,5,15,Flames,Pandas,crossfire8255,316,0,2,1,3
1,5,15,Flames,Pandas,Reverse Fridge,945,4,0,3,8
1,5,15,Pandas,Flames,Wyyzard,557,1,2,3,4
1,5,15,Pandas,Flames,dan720,932,4,1,2,6
1,1,16,Shadow,Sharks,Oni,897,4,2,1,10
1,1,16,Shadow,Sharks,SillyBunny,725,2,3,2,4
1,1,16,Sharks,Shadow,Lundo,795,2,2,3,6
1,1,16,Sharks,Shadow,Luke_Rocks,575,2,1,2,4
1,2,16,Shadow,Sharks,Oni,617,3,1,0,4
1,2,16,Shadow,Sharks,SillyBunny,990,3,3,4,5
1,2,16,Sharks,Shadow,Lundo,410,0,2,1,4
1,2,16,Sharks,Shadow,Luke_Rocks,757,4,0,1,6
1,3,16,Shadow,Sharks,Oni,781,3,2,1,6
1,3,16,Shadow,Sharks,SillyBunny,857,3,3,1,8
1,3,16,Sharks,Shadow,Lundo,626,1,2,3,2
1,3,16,Sharks,Shadow,Luke_Rocks,868,3,1,4,5
1,4,16,Shadow,Sharks,Oni,661,3,1,0,8
1,4,16,Shadow,Sharks,SillyBunny,567,1,1,4,4
1,4,16,Sharks,Shadow,Lundo,1026,4,1,5,7
1,4,16,Sharks,Shadow,Luke_Rocks,612,1,4,1,3
1,5,16,Shadow,Sharks,Oni,506,1,1,2,2
1,5,16,Shadow,Sharks,SillyBunny,292,1,0,0,2
1,5,16,Sharks,Shadow,Lundo,488,2,0,0,4
1,5,16,Sharks,Shadow,Luke_Rocks,546,2,0,2,3
2,1,17,Lightning,Eclipse,Ajax,607,1,1,4,3
2,1,17,Lightning,Eclipse,RED,600,2,1,2,6
2,1,17,Eclipse,Lightning,Other Ninja,543,1,0,3,3
2,1,17,Eclipse,Lightning,ballena,384,0,1,2,3
2,2,17,Lightning,Eclipse,Ajax,509,1,4,0,3
2,2,17,Lightning,Eclipse,RED,1028,5,1,3,7
2,2,17,Eclipse,Lightning,Other Ninja,331,1,0,1,2
2,2,17,Eclipse,Lightning,ballena,407,1,1,1,3
2,3,17,Lightning,Eclipse,Ajax,206,0,0,1,1
2,3,17,Lightning,Eclipse,RED,386,0,0,2,4
2,3,17,Eclipse,Lightning,Other Ninja,510,2,0,2,3
2,3,17,Eclipse,Lightning,ballena,505,0,1,4,3
2,4,17,Lightning,Eclipse,Ajax,661,3,0,2,5
2,4,17,Lightning,Eclipse,RED,439,0,3,0,2
2,4,17,Eclipse,Lightning,Other Ninja,262,1,0,1,2
2,4,17,Eclipse,Lightning,ballena,454,1,1,2,2
2,5,17,Lightning,Eclipse,Ajax,562,2,1,2,5
2,5,17,Lightning,Eclipse,RED,456,1,0,2,3
2,5,17,Eclipse,Lightning,Other Ninja,460,0,1,3,4
2,5,17,Eclipse,Lightning,ballena,437,1,0,2,2
2,1,18,Blizzard,Hurricanes,Barry Allen,701,3,0,0,5
2,1,18,Blizzard,Hurricanes,Scoobert Doobert,289,0,1,1,4
2,1,18,Hurricanes,Blizzard,Peabs,466,0,0,3,2
2,1,18,Hurricanes,Blizzard,Jab,459,2,0,2,2
2,2,18,Blizzard,Hurricanes,Barry Allen,606,2,1,1,2
2,2,18,Blizzard,Hurricanes,Scoobert Doobert,709,2,1,3,5
2,2,18,Hurricanes,Blizzard,Peabs,573,2,0,1,6
2,2,18,Hurricanes,Blizzard,Jab,443,0,2,2,3
2,3,18,Blizzard,Hurricanes,Barry Allen,622,2,1,1,5
2,3,18,Blizzard,Hurricanes,Scoobert Doobert,412,1,1,1,3
2,3,18,Hurricanes,Blizzard,Peabs,565,1,1,3,3
2,3,18,Hurricanes,Blizzard,Jab,482,1,1,2,3
2,4,18,Blizzard,Hurricanes,Barry Allen,622,2,1,1,5
2,4,18,Blizzard,Hurricanes,Scoobert Doobert,412,1,1,1,3
2,4,18,Hurricanes,Blizzard,Peabs,565,1,1,3,3
2,4,18,Hurricanes,Blizzard,Jab,482,1,1,2,3
2,5,18,Blizzard,Hurricanes,Barry Allen,315,0,0,2,1
2,5,18,Blizzard,Hurricanes,Scoobert Doobert,417,0,0,4,1
2,5,18,Hurricanes,Blizzard,Peabs,294,1,0,0,2
2,5,18,Hurricanes,Blizzard,Jab,344,1,1,0,6
2,1,19,Wolves,Puffins,Zack,601,2,2,1,6
2,1,19,Wolves,Puffins,Haimgame,532,2,1,1,5
2,1,19,Puffins,Wolves,Bolio,486,0,0,5,2
2,1,19,Puffins,Wolves,KittenDuck,347,0,0,3,0
2,2,19,Wolves,Puffins,Zack,897,4,0,3,4
2,2,19,Wolves,Puffins,Haimgame,242,0,1,1,1
2,2,19,Puffins,Wolves,Bolio,330,1,0,0,3
2,2,19,Puffins,Wolves,KittenDuck,384,1,1,0,6
2,3,19,Wolves,Puffins,Zack,338,0,1,1,3
2,3,19,Wolves,Puffins,Haimgame,396,1,0,2,3
2,3,19,Puffins,Wolves,Bolio,587,2,1,2,4
2,3,19,Puffins,Wolves,KittenDuck,502,1,2,1,4
2,4,19,Wolves,Puffins,Zack,236,0,0,1,2
2,4,19,Wolves,Puffins,Haimgame,404,0,0,3,3
2,4,19,Puffins,Wolves,Bolio,642,2,2,2,4
2,4,19,Puffins,Wolves,KittenDuck,925,3,2,3,5
2,5,19,Wolves,Puffins,Zack,606,1,2,2,7
2,5,19,Wolves,Puffins,Haimgame,509,2,1,1,4
2,5,19,Puffins,Wolves,Bolio,814,4,0,3,5
2,5,19,Puffins,Wolves,KittenDuck,676,0,2,4,2
2,1,20,Foxes,Sabres,henrY,718,3,1,2,6
2,1,20,Foxes,Sabres,Laff,708,3,0,3,3
2,1,20,Sabres,Foxes,SmilezRL,537,2,1,1,3
2,1,20,Sabres,Foxes,Prosperity2K,474,2,1,0,5
2,2,20,Foxes,Sabres,henrY,446,1,1,2,3
2,2,20,Foxes,Sabres,Laff,518,2,0,2,3
2,2,20,Sabres,Foxes,SmilezRL,490,2,0,1,4
2,2,20,Sabres,Foxes,Prosperity2K,178,0,0,1,2
2,3,20,Foxes,Sabres,henrY,486,1,0,4,3
2,3,20,Foxes,Sabres,Laff,432,1,1,1,4
2,3,20,Sabres,Foxes,SmilezRL,339,0,1,2,6
2,3,20,Sabres,Foxes,Prosperity2K,497,3,0,0,3
2,4,20,Foxes,Sabres,henrY,364,0,1,2,3
2,4,20,Foxes,Sabres,Laff,623,3,0,1,5
