Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Week 3 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,5,0,890,3,1,7,11,2845,,,,,,,,,,,,,,,,,,,,,,
kcscrag,5,0,1290,3,3,8,10,2845,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,5,2845,14,5,9,36,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,1,0,180,0,1,1,2,855,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,1,0,195,1,0,2,2,855,,,,,,,,,,,,,,,,,,,,,,
kcscrag,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,855,5,3,2,8,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,1,0,295,2,0,0,5,1090,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,1,0,140,0,0,2,1,1090,,,,,,,,,,,,,,,,,,,,,,
kcscrag,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,1090,6,4,3,9,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,1,1,320,1,0,2,2,575,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,1,1,290,3,0,0,3,575,,,,,,,,,,,,,,,,,,,,,,
kcscrag,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,575,3,2,1,7,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,1,1,360,1,0,4,2,380,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,1,1,135,1,0,1,1,380,,,,,,,,,,,,,,,,,,,,,,
kcscrag,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,380,1,0,0,8,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,1,0,205,0,0,2,1,640,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,1,0,140,1,0,2,1,640,,,,,,,,,,,,,,,,,,,,,,
kcscrag,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,640,3,3,1,9,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,5,2,1360,4,1,9,12,3540,,,,,,,,,,,,,,,,,,,,,,
