Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
LittleGiant,1,1,380,3,2,0,3,445,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,445,2,1,1,8,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Mateo,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Atomic,5,3,2180,9,1,13,23,2370,,,,,,,,,,,,,,,,,,,,,,
LittleGiant,5,3,1235,5,6,3,12,2370,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,2,2370,10,5,12,33,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Mateo,1,1,440,3,0,1,3,255,,,,,,,,,,,,,,,,,,,,,,
Atomic,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
LittleGiant,1,1,215,1,1,1,4,255,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,255,0,0,2,3,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Mateo,1,1,615,3,1,3,5,590,,,,,,,,,,,,,,,,,,,,,,
Atomic,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
LittleGiant,1,1,300,1,1,0,3,590,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,590,3,1,3,9,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Mateo,1,1,615,4,2,1,8,445,,,,,,,,,,,,,,,,,,,,,,
Atomic,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
LittleGiant,1,1,425,2,3,1,4,445,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,445,0,0,6,4,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Mateo,1,1,490,2,1,3,5,600,,,,,,,,,,,,,,,,,,,,,,
Atomic,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
