Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Week 6 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,0,200,1,0,1,1,470,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,0,195,1,1,1,1,470,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,470,3,0,0,6,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,5,2,1595,9,2,10,13,2780,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,5,2,1095,4,4,6,13,2780,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,3,2780,14,5,10,34,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,1,365,2,0,1,8,695,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,1,500,4,1,2,4,695,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,695,3,3,4,9,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,0,275,2,0,0,5,460,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,0,140,0,0,1,1,460,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,460,3,0,1,6,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,1,545,4,0,1,7,615,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,1,255,1,2,2,2,615,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,615,4,0,4,9,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,1,425,2,1,2,3,365,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,1,285,1,2,2,2,365,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,365,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,1,440,2,1,3,4,580,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,1,325,1,1,2,3,580,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,580,2,2,3,7,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,5,4,2050,12,2,7,27,2715,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,5,4,1505,7,6,9,12,2715,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,1,2715,13,6,13,35,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
