Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Vex,5,3,1095,3,3,6,10,2425,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,2,2425,9,5,14,25,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Stumpinator,1,1,350,2,0,0,4,485,,,,,,,,,,,,,,,,,,,,,,
Brax,1,1,210,1,1,1,2,485,,,,,,,,,,,,,,,,,,,,,,
Vex,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,485,1,1,4,3,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Stumpinator,1,1,505,4,1,1,4,450,,,,,,,,,,,,,,,,,,,,,,
Brax,1,1,210,1,1,1,2,450,,,,,,,,,,,,,,,,,,,,,,
Vex,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,450,2,0,1,5,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Stumpinator,1,1,535,3,2,3,5,580,,,,,,,,,,,,,,,,,,,,,,
Brax,1,1,460,4,1,1,5,580,,,,,,,,,,,,,,,,,,,,,,
Vex,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,580,2,2,3,6,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Stumpinator,1,0,230,1,0,0,5,625,,,,,,,,,,,,,,,,,,,,,,
Brax,1,0,245,0,1,1,5,625,,,,,,,,,,,,,,,,,,,,,,
Vex,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,625,3,1,5,4,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Stumpinator,1,1,340,2,1,0,2,275,,,,,,,,,,,,,,,,,,,,,,
Brax,1,1,215,1,1,2,1,275,,,,,,,,,,,,,,,,,,,,,,
Vex,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,275,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Stumpinator,5,4,1960,12,4,4,20,2415,,,,,,,,,,,,,,,,,,,,,,
Brax,5,4,1340,7,5,6,15,2415,,,,,,,,,,,,,,,,,,,,,,
Vex,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,1,2415,9,4,13,21,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Stumpinator,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Brax,1,1,335,3,0,2,4,395,,,,,,,,,,,,,,,,,,,,,,
Vex,1,1,560,2,2,4,5,395,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,395,2,0,2,7,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Stumpinator,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Brax,1,1,155,0,0,3,0,365,,,,,,,,,,,,,,,,,,,,,,
Vex,1,1,350,2,0,0,2,365,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,365,1,0,0,7,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Stumpinator,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Brax,1,1,400,2,0,3,4,315,,,,,,,,,,,,,,,,,,,,,,
Vex,1,1,330,1,2,1,4,315,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,315,1,0,2,5,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Stumpinator,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Brax,1,1,160,0,0,0,3,315,,,,,,,,,,,,,,,,,,,,,,
Vex,1,1,270,1,0,0,3,315,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,315,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Stumpinator,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Brax,1,1,190,1,0,1,2,415,,,,,,,,,,,,,,,,,,,,,,
Vex,1,1,415,2,0,2,3,415,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,415,2,2,0,6,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Stumpinator,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Brax,5,5,1240,6,0,9,13,1805,,,,,,,,,,,,,,,,,,,,,,
Vex,5,5,1925,8,4,7,17,1805,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,0,1805,6,2,8,26,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Stumpinator,1,0,260,1,1,2,4,825,,,,,,,,,,,,,,,,,,,,,,
Brax,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Vex,1,0,170,1,0,0,2,825,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,825,5,3,5,9,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Stumpinator,1,1,395,2,1,1,5,535,,,,,,,,,,,,,,,,,,,,,,
Brax,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Vex,1,1,265,1,0,1,4,535,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,535,2,0,5,5,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Stumpinator,1,1,440,3,2,1,2,405,,,,,,,,,,,,,,,,,,,,,,
Brax,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
