Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Manatee,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,830,5,2,1,10,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,1,0,295,2,1,2,4,695,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,1,0,195,1,1,1,1,695,,,,,,,,,,,,,,,,,,,,,,
Manatee,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,695,5,0,0,9,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,1,0,195,1,0,0,2,545,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,1,0,140,0,0,1,0,545,,,,,,,,,,,,,,,,,,,,,,
Manatee,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,545,3,1,1,5,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,5,2,1415,7,4,5,12,3030,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,5,2,975,4,3,5,6,3030,,,,,,,,,,,,,,,,,,,,,,
Manatee,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,3,3030,18,5,4,34,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,1,0,130,0,1,0,1,775,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,1,0,175,1,0,0,3,775,,,,,,,,,,,,,,,,,,,,,,
Manatee,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,775,5,1,1,7,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,1,0,215,0,1,1,3,990,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,1,0,140,1,0,0,4,990,,,,,,,,,,,,,,,,,,,,,,
Manatee,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,990,6,3,5,10,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,1,0,240,1,0,3,2,1035,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,1,0,175,0,0,3,1,1035,,,,,,,,,,,,,,,,,,,,,,
Manatee,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,1035,7,4,2,13,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,1,0,285,1,0,3,0,785,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,1,0,95,0,0,1,2,785,,,,,,,,,,,,,,,,,,,,,,
Manatee,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,785,5,0,1,12,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,1,0,185,0,1,2,3,745,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,1,0,250,2,0,2,3,745,,,,,,,,,,,,,,,,,,,,,,
Manatee,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
