Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Opposition,1,0,320,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bondo,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Junior,1,0,195,1,0,0,1,585,,,,,,,,,,,,,,,,,,,,,,
Ares,1,0,155,0,0,0,3,585,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,585,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bondo,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Junior,1,0,295,1,0,1,5,610,,,,,,,,,,,,,,,,,,,,,,
Ares,1,0,95,0,0,0,0,610,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,610,3,2,4,5,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bondo,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Junior,1,1,465,0,0,7,1,515,,,,,,,,,,,,,,,,,,,,,,
Ares,1,1,265,2,0,0,3,515,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,515,1,1,2,10,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bondo,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Junior,1,1,485,4,0,0,7,625,,,,,,,,,,,,,,,,,,,,,,
Ares,1,1,355,1,3,2,5,625,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,625,3,1,7,5,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bondo,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Junior,5,3,1850,8,0,9,19,2655,,,,,,,,,,,,,,,,,,,,,,
