Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Week 3 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
YouReach,5,5,1785,10,3,6,18,2400,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,5,5,2250,10,6,7,27,2400,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,0,2400,9,2,14,28,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,1,1,115,1,1,1,1,30,,,,,,,,,,,,,,,,,,,,,,
YouReach,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,1,1,115,1,1,1,1,30,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,30,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,1,1,115,1,1,1,1,30,,,,,,,,,,,,,,,,,,,,,,
YouReach,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,1,1,115,1,1,1,1,30,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,30,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,1,1,115,1,1,1,1,30,,,,,,,,,,,,,,,,,,,,,,
YouReach,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,1,1,115,1,1,1,1,30,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,30,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,1,1,115,1,1,1,1,30,,,,,,,,,,,,,,,,,,,,,,
YouReach,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,1,1,115,1,1,1,1,30,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,30,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,1,1,115,1,1,1,1,30,,,,,,,,,,,,,,,,,,,,,,
YouReach,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,1,1,115,1,1,1,1,30,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,30,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,5,5,575,5,5,5,5,150,,,,,,,,,,,,,,,,,,,,,,
YouReach,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,5,5,575,5,5,5,5,150,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,0,150,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,1,1,350,2,1,1,4,425,,,,,,,,,,,,,,,,,,,,,,
YouReach,1,1,405,2,0,2,4,425,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,425,1,0,3,4,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,1,0,270,1,0,0,2,590,,,,,,,,,,,,,,,,,,,,,,
YouReach,1,0,200,0,0,1,1,590,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,590,2,1,2,7,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,1,1,275,2,2,0,4,435,,,,,,,,,,,,,,,,,,,,,,
YouReach,1,1,480,4,0,0,4,435,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,435,3,0,2,4,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,1,1,535,4,0,0,6,435,,,,,,,,,,,,,,,,,,,,,,
YouReach,1,1,325,1,3,0,3,435,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,435,2,0,4,3,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,1,1,510,3,1,0,5,690,,,,,,,,,,,,,,,,,,,,,,
YouReach,1,1,400,2,2,1,6,690,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,690,4,1,3,7,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,5,4,1940,12,4,1,21,2575,,,,,,,,,,,,,,,,,,,,,,
YouReach,5,4,1810,9,5,4,18,2575,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,1,2575,12,2,14,25,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,1,1,225,1,1,1,3,565,,,,,,,,,,,,,,,,,,,,,,
YouReach,1,1,490,3,0,1,6,565,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,565,3,0,2,10,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,1,1,415,3,1,1,4,510,,,,,,,,,,,,,,,,,,,,,,
YouReach,1,1,275,1,1,1,4,510,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,510,3,0,4,6,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,1,1,310,2,0,1,4,280,,,,,,,,,,,,,,,,,,,,,,
YouReach,1,1,95,0,0,0,2,280,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,280,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,1,1,275,2,0,2,3,430,,,,,,,,,,,,,,,,,,,,,,
YouReach,1,1,405,1,0,3,3,430,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,430,1,1,2,6,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,1,0,150,0,0,2,1,865,,,,,,,,,,,,,,,,,,,,,,
