Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Week 4 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,1,0,295,2,0,2,4,840,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,0,330,1,1,5,1,840,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,840,5,3,2,12,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,5,2,1270,5,4,8,14,2890,,,,,,,,,,,,,,,,,,,,,,
Patabread,5,2,1385,5,3,10,12,2890,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,3,2890,12,3,12,31,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,1,265,1,1,1,3,215,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,1,1,180,1,0,0,2,215,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,215,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,0,170,0,1,1,3,690,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,1,0,180,1,0,1,1,690,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,690,4,2,2,7,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,1,460,3,0,0,8,485,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,1,1,190,1,1,0,2,485,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,485,2,1,4,3,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,1,615,5,0,1,6,365,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,1,1,130,0,0,2,2,365,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,365,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,0,295,1,0,3,1,545,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,1,0,130,0,0,1,3,545,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,545,2,0,2,6,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Patabread,5,3,1805,10,2,6,21,2300,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,5,3,810,3,1,4,10,2300,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,2,2300,8,3,13,20,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,1,0,320,2,2,1,6,685,,,,,,,,,,,,,,,,,,,,,,
Patabread,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,1,0,200,2,0,1,3,685,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,685,5,0,3,7,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,1,0,290,1,1,1,3,600,,,,,,,,,,,,,,,,,,,,,,
Patabread,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,1,0,205,1,1,1,2,600,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,600,4,0,3,7,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,1,1,295,2,0,1,4,300,,,,,,,,,,,,,,,,,,,,,,
Patabread,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,1,1,65,0,0,0,0,300,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,300,1,0,1,3,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,1,1,370,3,0,0,5,535,,,,,,,,,,,,,,,,,,,,,,
Patabread,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,1,1,115,0,1,0,2,535,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,535,2,1,4,3,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,1,1,235,1,1,0,3,345,,,,,,,,,,,,,,,,,,,,,,
Patabread,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,1,1,235,2,0,0,5,345,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,345,2,0,3,2,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,5,3,1510,9,4,3,21,2465,,,,,,,,,,,,,,,,,,,,,,
Patabread,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,5,3,820,5,2,2,12,2465,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,2,2465,14,1,14,22,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,1,0,215,1,1,1,1,660,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,0,235,1,1,1,3,660,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,660,4,2,3,6,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,1,0,125,0,0,2,0,855,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,0,360,1,0,4,3,855,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,855,5,1,2,12,,,,,,,,,,,,,,,,,,,,,,,
